Loci,Annotation,EC #,Protein abbreviation
MA4532,iron compounds ABC transporter ATP-binding protein,3.6.3.34,ABC.FEV.A
MA4533,iron ABC transporter permease,Unassigned,ABC.FEV.P
MA4543,2.1.1.45) | thymidylate synthase,2.1.1.45,thyA
MA4544,3-phosphoshikimate 1-carboxyvinyltransferase,2.5.1.19,aroA
MA4546,methyl coenzyme M reductase subunit alpha (mcrA) (EC 2.8.4.1),2.8.4.1,mcrA
MA4547,methyl coenzyme M reductase subunit gamma (mcrG) (EC 2.8.4.1),2.8.4.1,mcrG
MA4548,coenzyme M reductase operon protein C (mcrC) with unknown function,Unassigned,mcrC
MA4549,methyl coenzyme M reductase,Unassigned,mcrD
MA4550,methyl-coenzyme M reductase subunit beta (mcrB) (EC 2.8.4.1),2.8.4.1,mcrB
MA4555,ribulose bisophosphate carboxylase,4.1.1.39,rbcL
MA4558,,,
MA4559,methylcobalamin:coenzyme M methyltransferase,Unassigned,cmtM
MA4566,,,
MA4567,,,
MA4568,,,
MA4569,Na+/H+ antiporter subunit,,
MA4570,,,
MA4572,Na+/H+ antiporter subunit,,
MA4581,,,
MA4590,hydrolyzing) subunit A (EC 6.3.5.2) | GMP synthase subunit A,6.3.5.2,guaA
MA4591,"2-amino-3,7-dideoxy-D-threo- hept-6-ulosonate synthase CL2 | fructose-bisphosphate aldolase",4.1.2.13 | 2.2.1.10,deoC
MA4592,3-dehydroquinate synthase (EC 4.6.1.3),1.4.1.24,Unassigned
MA4593,3-dehydroquinate dehydratase,4.2.1.10,aroD
MA4594,Shikimate dehydrogenase (aroE) (EC 1.1.1.25),1.1.1.25,aroE
MA4595,prephenate dehydrogenase,1.3.1.12,tyrA2
MA4597,,,
MA4598,,,
MA4602,formylmethanofuran dehydrogenase subunit E,1.2.99.5,fwdE
MA4604,,,
MA4605,iron(III) ABC transporter permease,Unassigned,ABC.FEV.P
MA4606,,,
MA4607,Triosephosphate isomerase EC 5.3.1.1,5.3.1.1,tpi
MA4608,(Includes: Formaldehyde- activating enzyme (Fae) (EC 4.3.-.-) & 3-hexulose-6-phosphate synthase (HPS) (EC 4.1.2.-)) (fae-hps) | bifunctional formaldehyde-activating enzyme/3-hexulose-6-phosphate synthase,4.2.1.147 | 4.1.2.43,fae-hps
MA4615,2-isopropylmalate synthase (EC 2.3.3.13),2.3.3.13,leuA
MA4630,,,
MA4643,,,
MA4647,,,
MA4660,,,
